,moshi,grade,date,place,latitude,longitude
0,第３回駿台全国模試,3,2017-12-03,駿台予備学校　札幌校,43.067795,141.346643
1,第３回駿台全国模試,3,2017-12-03,駿台予備学校仙台校,38.2582664,140.8840019
2,第３回駿台全国模試,3,2017-12-03,茨城県職業人材育成センター,,
3,第３回駿台全国模試,3,2017-12-03,宇都宮ビジネス電子専門学校,,
4,第３回駿台全国模試,3,2017-12-03,小野池學院,,
5,第３回駿台全国模試,3,2017-12-03,駿台予備学校大宮校,35.90287,139.62356
6,第３回駿台全国模試,3,2017-12-03,芝浦工大（東大宮）５号館,,
7,第３回駿台全国模試,3,2017-12-03,駿台津田沼校,35.690509,140.018645
8,第３回駿台全国模試,3,2017-12-03,駿台千葉校,35.612567,140.11707
9,第３回駿台全国模試,3,2017-12-03,駿台柏校,35.860013,139.969912
10,第３回駿台全国模試,3,2017-12-03,駿台予備学校１号館,,
11,第３回駿台全国模試,3,2017-12-03,駿台予備学校２号館,,
12,第３回駿台全国模試,3,2017-12-03,駿台予備学校立川校,35.6954136,139.4138127
13,第３回駿台全国模試,3,2017-12-03,駿台町田校,35.5477393,139.4439598
14,第３回駿台全国模試,3,2017-12-03,駿台自由が丘校,35.609062,139.6704983
15,第３回駿台全国模試,3,2017-12-03,駿台吉祥寺校,35.7026085,139.5778014
16,第３回駿台全国模試,3,2017-12-03,駿台予備学校池袋校,35.7262928,139.7137718
17,第３回駿台全国模試,3,2017-12-03,駿台予備学校横浜校１号館,35.468841,139.621365
18,第３回駿台全国模試,3,2017-12-03,駿台藤沢校,35.33606,139.489333
19,第３回駿台全国模試,3,2017-12-03,駿台あざみ野校,35.5707498,139.5540309
20,第３回駿台全国模試,3,2017-12-03,駿台横浜みらい校,35.469982,139.624648
21,第３回駿台全国模試,3,2017-12-03,麻布大学９号館,,
22,第３回駿台全国模試,3,2017-12-03,東京都市大学横浜キャンパス３号館,,
23,第３回駿台全国模試,3,2017-12-03,新潟公務員法律専門学校,,
24,第３回駿台全国模試,3,2017-12-03,静岡デザイン専門学校,,
25,第３回駿台全国模試,3,2017-12-03,日本大学国際関係学部１３号館,,
26,第３回駿台全国模試,3,2017-12-03,駿台浜松校,34.70447,137.733154
27,第３回駿台全国模試,3,2017-12-03,駿台予備学校名古屋校,35.166095,136.885067
28,第３回駿台全国模試,3,2017-12-03,駿台予備学校京都校,35.01651,135.751298
29,第３回駿台全国模試,3,2017-12-03,駿台予備学校京都南校,34.9839484,135.7548702
30,第３回駿台全国模試,3,2017-12-03,駿台予備学校大阪校,34.7759777,135.4936784
31,第３回駿台全国模試,3,2017-12-03,駿台予備学校上本町校,34.667838,135.516359
32,第３回駿台全国模試,3,2017-12-03,駿台予備学校神戸校,34.696212,135.194656
33,第３回駿台全国模試,3,2017-12-03,駿台予備学校広島校,34.398977,132.478404
34,第３回駿台全国模試,3,2017-12-03,駿台予備学校福岡校,33.5911961,130.3935967
35,大学入試センター試験プレテスト,3,2017-12-17,駿台予備学校　札幌校,43.067795,141.346643
36,大学入試センター試験プレテスト,3,2017-12-17,北海道大学,,
37,大学入試センター試験プレテスト,3,2017-12-17,東北大学川内北キャンパス講義棟Ａ棟Ｂ棟,,
38,大学入試センター試験プレテスト,3,2017-12-17,駿台予備学校仙台校,38.2582664,140.8840019
39,大学入試センター試験プレテスト,3,2017-12-17,山形大学小白川キャンパス,,
40,大学入試センター試験プレテスト,3,2017-12-17,尚志教育センタ−,,
41,大学入試センター試験プレテスト,3,2017-12-17,水戸駿優予備校,,
42,大学入試センター試験プレテスト,3,2017-12-17,宇都宮大峰キャンパス,,
43,大学入試センター試験プレテスト,3,2017-12-17,小野池學院,,
44,大学入試センター試験プレテスト,3,2017-12-17,駿台予備学校大宮校,35.90287,139.62356
45,大学入試センター試験プレテスト,3,2017-12-17,芝浦工業大学３号館,,
46,大学入試センター試験プレテスト,3,2017-12-17,聖学院大学７号館,,
47,大学入試センター試験プレテスト,3,2017-12-17,駿台津田沼校,35.690509,140.018645
48,大学入試センター試験プレテスト,3,2017-12-17,駿台千葉校,35.612567,140.11707
49,大学入試センター試験プレテスト,3,2017-12-17,駿台柏校,35.860013,139.969912
50,大学入試センター試験プレテスト,3,2017-12-17,千葉工業大学新習志野校舎５号館,,
51,大学入試センター試験プレテスト,3,2017-12-17,敬愛大学稲毛キャンパス２号館,,
52,大学入試センター試験プレテスト,3,2017-12-17,江戸川大学,,
53,大学入試センター試験プレテスト,3,2017-12-17,駿台予備学校１号館,,
54,大学入試センター試験プレテスト,3,2017-12-17,駿台予備学校２号館,,
55,大学入試センター試験プレテスト,3,2017-12-17,駿台予備学校３号館,,
56,大学入試センター試験プレテスト,3,2017-12-17,駿台予備学校立川校,35.6954136,139.4138127
57,大学入試センター試験プレテスト,3,2017-12-17,駿台町田校,35.5477393,139.4439598
58,大学入試センター試験プレテスト,3,2017-12-17,駿台予備学校８号館,,
59,大学入試センター試験プレテスト,3,2017-12-17,駿台自由が丘校,35.609062,139.6704983
60,大学入試センター試験プレテスト,3,2017-12-17,駿台吉祥寺校,35.7026085,139.5778014
61,大学入試センター試験プレテスト,3,2017-12-17,明治大学中野キャンパス,,
62,大学入試センター試験プレテスト,3,2017-12-17,工学院大学,,
63,大学入試センター試験プレテスト,3,2017-12-17,立教大学本館,,
64,大学入試センター試験プレテスト,3,2017-12-17,東京経済大学５号館,,
65,大学入試センター試験プレテスト,3,2017-12-17,駿台予備学校池袋校,35.7262928,139.7137718
66,大学入試センター試験プレテスト,3,2017-12-17,駿台予備学校横浜校１号館,35.468841,139.621365
67,大学入試センター試験プレテスト,3,2017-12-17,駿台藤沢校,35.33606,139.489333
68,大学入試センター試験プレテスト,3,2017-12-17,駿台あざみ野校,35.5707498,139.5540309
69,大学入試センター試験プレテスト,3,2017-12-17,駿台横浜みらい校,35.469982,139.624648
70,大学入試センター試験プレテスト,3,2017-12-17,相模女子大学１１号館,,
71,大学入試センター試験プレテスト,3,2017-12-17,麻布大学９号館,,
72,大学入試センター試験プレテスト,3,2017-12-17,麻布大学８号館,,
73,大学入試センター試験プレテスト,3,2017-12-17,東京都市大学横浜キャンパス３号館,,
74,大学入試センター試験プレテスト,3,2017-12-17,横浜市立大学本校舎,,
75,大学入試センター試験プレテスト,3,2017-12-17,湘南工科大学,,
76,大学入試センター試験プレテスト,3,2017-12-17,新潟大学五十嵐キャンパス,,
77,大学入試センター試験プレテスト,3,2017-12-17,静岡産業技術専門学校,,
78,大学入試センター試験プレテスト,3,2017-12-17,大原学園浜松校,,
79,大学入試センター試験プレテスト,3,2017-12-17,日本大学国際関係学部三島駅北口校舎,,
80,大学入試センター試験プレテスト,3,2017-12-17,駿台予備学校名古屋校,35.166095,136.885067
81,大学入試センター試験プレテスト,3,2017-12-17,立命館びわこ・くさつ,,
82,大学入試センター試験プレテスト,3,2017-12-17,京都産業大学５号館,,
83,大学入試センター試験プレテスト,3,2017-12-17,駿台予備学校京都南校,34.9839484,135.7548702
84,大学入試センター試験プレテスト,3,2017-12-17,大阪学院大学１６号館,,
85,大学入試センター試験プレテスト,3,2017-12-17,駿台予備学校上本町校,34.667838,135.516359
86,大学入試センター試験プレテスト,3,2017-12-17,近畿大学,,
87,大学入試センター試験プレテスト,3,2017-12-17,兵庫県立姫路労働会館,,
88,大学入試センター試験プレテスト,3,2017-12-17,甲南大学,,
89,大学入試センター試験プレテスト,3,2017-12-17,プラザホープ,,
90,大学入試センター試験プレテスト,3,2017-12-17,広島工業大学専門学校,,
91,大学入試センター試験プレテスト,3,2017-12-17,駿台予備学校広島校,34.398977,132.478404
92,大学入試センター試験プレテスト,3,2017-12-17,駿台予備学校福岡校,33.5911961,130.3935967
0,第1回高2駿台全国マーク模試,2,2017-12-23,駿台予備学校　札幌校,43.067795,141.346643
1,第1回高2駿台全国マーク模試,2,2017-12-23,駿台予備学校仙台校,38.2582664,140.8840019
2,第1回高2駿台全国マーク模試,2,2017-12-23,駿台予備学校大宮校,35.90287,139.62356
3,第1回高2駿台全国マーク模試,2,2017-12-23,駿台津田沼校,35.690509,140.018645
4,第1回高2駿台全国マーク模試,2,2017-12-23,駿台千葉校,35.612567,140.11707
5,第1回高2駿台全国マーク模試,2,2017-12-23,駿台柏校,35.860013,139.969912
6,第1回高2駿台全国マーク模試,2,2017-12-23,駿台予備学校３号館,,
7,第1回高2駿台全国マーク模試,2,2017-12-23,駿台予備学校立川校,35.6954136,139.4138127
8,第1回高2駿台全国マーク模試,2,2017-12-23,駿台町田校,35.5477393,139.4439598
9,第1回高2駿台全国マーク模試,2,2017-12-23,駿台自由が丘校,35.609062,139.6704983
10,第1回高2駿台全国マーク模試,2,2017-12-23,駿台吉祥寺校,35.7026085,139.5778014
11,第1回高2駿台全国マーク模試,2,2017-12-23,駿台予備学校池袋校,35.7262928,139.7137718
12,第1回高2駿台全国マーク模試,2,2017-12-23,駿台藤沢校,35.33606,139.489333
13,第1回高2駿台全国マーク模試,2,2017-12-23,駿台あざみ野校,35.5707498,139.5540309
14,第1回高2駿台全国マーク模試,2,2017-12-23,駿台横浜みらい校,35.469982,139.624648
15,第1回高2駿台全国マーク模試,2,2017-12-23,駿台浜松校,34.70447,137.733154
16,第1回高2駿台全国マーク模試,2,2017-12-23,駿台予備学校名古屋校,35.166095,136.885067
17,第1回高2駿台全国マーク模試,2,2017-12-23,駿台予備学校京都校,35.01651,135.751298
